theme,count,pct_rows_with_theme
mortality,3030,7.82
unrequited love,1208,3.12
loneliness,941,2.43
nature imagery,857,2.21
death,841,2.17
impermanence,811,2.09
nostalgia,745,1.92
grief,709,1.83
lost love,701,1.81
longing,640,1.65
memory,636,1.64
nature symbolism,573,1.48
mourning,509,1.31
nature metaphor,505,1.3
betrayal,499,1.29
existential dread,386,1.0
nature,373,0.96
search for meaning,360,0.93
aging,355,0.92
loss,352,0.91
