split,column,count,mean,std,min,p5,median,p95,max
test,row_index,2568,1283.5,741.4620691579577,0.0,128.35,1283.5,2438.65,2567.0
test,emotions__len,0,,,,,,,
test,themes__len,0,,,,,,,
test,themes_50__len,0,,,,,,,
test,poem_len_chars,2568,2022.4754672897195,6197.880853658063,6.0,172.0,933.5,5735.050000000007,143469.0
test,poem_len_words,2568,362.4497663551402,1109.0945133171222,0.0,32.0,165.0,1018.5000000000009,25257.0
test,interpretation_len_chars,2568,4390.139797507788,971.1015481976334,165.0,3164.4,4259.0,5992.900000000001,17079.0
test,interpretation_len_words,2568,662.5323208722741,137.41876279561393,29.0,488.0,646.0,890.6500000000001,2458.0
test,title_len_chars,2568,21.291666666666668,15.168429036964314,1.0,6.0,17.0,52.0,139.0
test,title_len_words,2568,3.809968847352025,2.792336387329262,1.0,1.0,3.0,9.0,29.0
train,row_index,46220,23109.5,13342.709057758848,0.0,2310.9500000000003,23109.5,43908.049999999996,46219.0
train,emotions__len,38755,2.7539414269126565,0.4413704819464835,1.0,2.0,3.0,3.0,3.0
train,themes__len,38755,4.8660559927751255,0.38811684704639454,0.0,4.0,5.0,5.0,5.0
train,themes_50__len,38755,0.14181395948909817,0.4231944296403571,0.0,0.0,0.0,1.0,4.0
train,poem_len_chars,46220,2091.0202942449155,6094.388082861423,0.0,173.0,893.0,6183.0,283183.0
train,poem_len_words,46220,375.0423193422761,1099.170591790688,0.0,32.0,160.0,1107.0,49750.0
train,interpretation_len_chars,46220,4409.972522717439,1104.1215825103807,167.0,3183.0,4224.0,6151.049999999996,19985.0
train,interpretation_len_words,46220,665.4895067070532,155.65504071701503,31.0,490.0,641.0,910.0,3100.0
train,title_len_chars,46220,21.949870186066637,16.24550316609913,0.0,6.0,17.0,54.0,253.0
train,title_len_words,46220,3.937797490263955,2.9825072841494484,0.0,1.0,3.0,10.0,42.0
validation,row_index,2568,1283.5,741.4620691579577,0.0,128.35,1283.5,2438.65,2567.0
validation,emotions__len,0,,,,,,,
validation,themes__len,0,,,,,,,
validation,themes_50__len,0,,,,,,,
validation,poem_len_chars,2568,2176.885124610592,5776.27905960995,6.0,168.0,911.0,7114.900000000008,95792.0
validation,poem_len_words,2568,389.50467289719626,1037.5227767375948,0.0,30.349999999999994,163.0,1267.0,17084.0
validation,interpretation_len_chars,2568,4431.795171339564,1118.8089586173332,160.0,3143.35,4252.0,6255.25,17983.0
validation,interpretation_len_words,2568,667.7110591900312,156.46721113283755,28.0,484.0,644.0,924.0,2419.0
validation,title_len_chars,2568,21.819704049844237,16.207140872499238,2.0,6.0,17.5,52.65000000000009,167.0
validation,title_len_words,2568,3.895249221183801,2.9331482745251725,1.0,1.0,3.0,10.0,27.0
