split,column,count,mean,std,min,p5,median,p95,max
test,poem_len_chars,2568,2022.4754672897195,6197.880853658063,6,172.0,933.5,5735.050000000007,143469
test,poem_len_words,2568,362.4497663551402,1109.0945133171222,0,32.0,165.0,1018.5000000000009,25257
test,interpretation_len_chars,2568,4390.139797507788,971.1015481976334,165,3164.4,4259.0,5992.900000000001,17079
test,interpretation_len_words,2568,662.5323208722741,137.41876279561393,29,488.0,646.0,890.6500000000001,2458
test,title_len_chars,2568,32.67951713395639,22.70730789733536,3,7.0,25.0,72.0,139
test,title_len_words,2568,3.809968847352025,2.792336387329262,1,1.0,3.0,9.0,29
train,poem_len_chars,46220,2091.0202942449155,6094.388082861423,0,173.0,893.0,6183.0,283183
train,poem_len_words,46220,375.0423193422761,1099.170591790688,0,32.0,160.0,1107.0,49750
train,interpretation_len_chars,46220,4409.972522717439,1104.1215825103807,167,3183.0,4224.0,6151.049999999996,19985
train,interpretation_len_words,46220,665.4895067070532,155.65504071701503,31,490.0,641.0,910.0,3100
train,title_len_chars,46220,33.04911293812202,23.583216076728316,0,7.0,24.0,75.0,253
train,title_len_words,46220,3.937797490263955,2.9825072841494484,0,1.0,3.0,10.0,42
validation,poem_len_chars,2568,2176.885124610592,5776.27905960995,6,168.0,911.0,7114.900000000008,95792
validation,poem_len_words,2568,389.50467289719626,1037.5227767375948,0,30.349999999999994,163.0,1267.0,17084
validation,interpretation_len_chars,2568,4431.795171339564,1118.8089586173332,160,3143.35,4252.0,6255.25,17983
validation,interpretation_len_words,2568,667.7110591900312,156.46721113283755,28,484.0,644.0,924.0,2419
validation,title_len_chars,2568,33.01985981308411,23.544816627181643,2,7.0,24.0,75.0,167
validation,title_len_words,2568,3.895249221183801,2.9331482745251725,1,1.0,3.0,10.0,27
